station_id,name,brand,region,sido,sigungu,addr,is_self,quality_cert,reports_price,tel,lat,lng,match,matched_addr
A0000050,동산주유소,알뜰주유소,경남 함양군,경남,함양군,경남 함양군 함양읍 고운로 570,0,0,1,055-964-2221,35.522917369335,127.77782975647,addr,경남 함양군 함양읍 고운로 570
A0000051,태아산업㈜ 부여백제(서천방향)주유소,알뜰(ex),충남 부여군,충남,부여군,충남 부여군 내산면 서천공주고속도로 25,1,1,1,041-834-4600,36.2584899274168,126.796889537403,addr,충남 부여군 내산면 서천공주고속도로 25
A0000052,태아산업㈜ 부여백제(공주방향)주유소,알뜰(ex),충남 부여군,충남,부여군,충남 부여군 내산면 서천공주고속도로 26,1,1,1,041-833-8300,36.258171359131,126.800155334409,addr,충남 부여군 내산면 서천공주고속도로 26
A0000053,풀무원푸드앤컬처공주하(대전)주유소,알뜰(ex),충남 공주시,충남,공주시,충남 공주시 당진영덕고속도로 72-1,1,1,1,041-854-9728,36.4973802699913,127.168437547506,addr,충남 공주시 당진영덕고속도로 72-1
A0000054,풀무원푸드앤컬처공주상(당진)주유소,알뜰(ex),충남 공주시,충남,공주시,충남 공주시 의당면 당진영덕고속도로 71,1,1,1,041-854-9504,36.498467362766,127.165065753526,addr,충남 공주시 의당면 당진영덕고속도로 71
A0000056,㈜더웨이유통 진안 마이산(익산방향)주유소,알뜰(ex),전북 진안군,전북,진안군,전북 진안군 진안읍 익산장수고속도로 41-1,0,1,1,063-432-1383,35.7774932607457,127.426660923863,addr,전북특별자치도 진안군 진안읍 익산장수고속도로 41-1
A0000057,㈜더웨이유통 진안 마이산(장수방향)주유소,알뜰(ex),전북 진안군,전북,진안군,전북 진안군 진안읍 익산장수고속도로 42-1,1,1,1,063-432-6353,35.775401351097,127.425132928492,addr,전북특별자치도 진안군 진안읍 익산장수고속도로 42-1
A0000064,안풍주유소,S-OIL,서울 종로구,서울,종로구,서울 종로구 자하문로 303,0,0,0,02-396-5151,37.5992208603626,126.959153220967,addr,서울 종로구 자하문로 303
A0000069,자하문주유소,SK에너지,서울 종로구,서울,종로구,서울 종로구 자하문로 248 (부암동),1,0,0,02-396-5252,37.5963008098912,126.964348123069,addr,서울 종로구 자하문로 248
A0000074,구도일주유소 창동,S-OIL,서울 도봉구,서울,도봉구,서울 도봉구 해등로3길 86 (창동),1,0,1,02-906-5104,37.6468441893808,127.039445115121,addr,서울 도봉구 해등로3길 86
A0000079,형제주유소,S-OIL,충남 서산시,충남,서산시,충남 서산시 음암면 운암로 678,0,0,0,041-664-3383,36.8021150534897,126.548292419223,addr,충남 서산시 음암면 운암로 678
A0000081,계림주유소,GS칼텍스,경기 남양주시,경기,남양주시,경기 남양주시 별내면 송산로 400,0,0,0,031-528-2860,37.6775303168581,127.135080956975,addr,경기 남양주시 별내면 송산로 400
A0000084,강현농업협동조합(강현농협주유소),NH-OIL,강원 양양군,강원,양양군,강원 양양군 강현면 동해대로 3415,1,0,1,033-671-5815,38.1422729895794,128.612220493659,addr,강원특별자치도 양양군 강현면 동해대로 3415
A0000089,가은주유소,SK에너지,충남 천안시,충남,천안시,충남 천안시 서북구 성환읍 천안대로 1899,0,0,0,041-583-1228,36.9080045520781,127.135246746989,addr,충남 천안시 서북구 성환읍 천안대로 1899
A0000097,덕적주유소,HD현대오일뱅크,인천 옹진군,인천,옹진군,인천 옹진군 덕적면 덕적북로 66,0,0,0,032-832-3884,37.2278578358224,126.150890997824,addr,인천 옹진군 덕적면 덕적북로 66
A0000110,목장주유소,S-OIL,경기 고양시,경기,고양시,경기 고양시 덕양구 호국로 932,1,0,1,031-967-8805,37.6660615987138,126.84742853118,addr,경기 고양시 덕양구 호국로 932
A0000120,마포주유소,S-OIL,서울 마포구,서울,마포구,서울 마포구 마포대로 186,1,0,1,02-711-5189,37.5505948047115,126.95563699696,addr,서울 마포구 마포대로 186
A0000129,SK에너지(주) 양지주유소,SK에너지,서울 마포구,서울,마포구,서울 마포구 마포대로 69 (도화동),0,0,1,02-706-8955,37.5421183825596,126.948522081226,addr,서울 마포구 마포대로 69
A0000134,구도일주유소 두꺼비,S-OIL,서울 서대문구,서울,서대문구,서울 서대문구 성산로 312,1,0,1,02-336-0611,37.5660708443759,126.924941152249,addr,서울 서대문구 성산로 312
A0000136,포천신북주유소,알뜰주유소,경기 포천시,경기,포천시,경기 포천시 호국로 2226,1,0,1,031-534-7775,37.9463997746979,127.235724297455,addr,경기 포천시 신북면 호국로 2226
A0000139,(주)타이거통상 월드컵주유소,S-OIL,서울 마포구,서울,마포구,서울 마포구 월드컵북로 170 (성산제2동),1,0,0,070-4121-0021,37.567465744446,126.909844646131,addr,서울 마포구 월드컵북로 170
A0000146,마포시엠주유소,SK에너지,서울 마포구,서울,마포구,서울 마포구 월드컵북로 62,0,0,0,02-338-9447,37.5597772413684,126.917179478209,addr,서울 마포구 월드컵북로 62
A0000154,하늘주유소,S-OIL,경기 고양시,경기,고양시,경기 고양시 덕양구 통일로 1096,0,0,0,031-964-5188,37.7120916960243,126.852474899621,addr,경기 고양시 덕양구 통일로 1096
A0000156,금오주유소,SK에너지,경기 의정부시,경기,의정부시,경기 의정부시 호국로 1582 (금오동),0,0,0,031-821-3939,37.7546162579234,127.076443024468,addr,경기 의정부시 호국로 1582
A0000159,청원주유소,HD현대오일뱅크,서울 마포구,서울,마포구,서울 마포구 월드컵북로 113 (성산동),1,0,1,02-325-5533,37.5631741949394,126.913189228501,addr,서울 마포구 월드컵북로 113
A0000160,경포주유소,GS칼텍스,강원 강릉시,강원,강릉시,강원 강릉시 안현로 40 (안현동),0,0,0,033-644-5145,37.8004261887968,128.864851231332,addr,강원특별자치도 강릉시 안현로 40
A0000161,염창동주유소,SK에너지,서울 강서구,서울,강서구,서울 강서구 양천로 720,0,0,0,02-3664-4134,37.5492177273409,126.875677103073,addr,서울 강서구 양천로 720
A0000163,(주)만성상사 대흥주유소,SK에너지,서울 마포구,서울,마포구,서울 마포구 대흥로 61 (대흥동),0,0,0,02-3273-5151,37.5461548430236,126.940082714427,addr,서울 마포구 대흥로 61
A0000164,(주)안국에너지 망원동주유소,SK에너지,서울 마포구,서울,마포구,서울 마포구 월드컵로 119 (망원동),0,0,1,02-334-0917,37.5587410471986,126.907182114043,addr,서울 마포구 월드컵로 119
A0000169,성산대교셀프주유소,HD현대오일뱅크,서울 마포구,서울,마포구,서울 마포구 성산로 144,1,0,1,02-323-0078,37.5643351190322,126.909458037833,addr,서울 마포구 성산로 144
A0000173,에스에스오토셀프,HD현대오일뱅크,서울 마포구,서울,마포구,서울 마포구 서강로 76 (창전동),1,0,1,02-336-5185,37.5498342666849,126.932591311368,addr,서울 마포구 서강로 76
A0000178,(주)미래아스팔트 신우주유소,S-OIL,서울 서대문구,서울,서대문구,서울 서대문구 가좌로 106(홍은동),1,0,1,02-304-5522,37.5822575743325,126.926519409089,addr,서울 서대문구 가좌로 106
A0000180,㈜세일 구도일주유소 안양,S-OIL,경기 안양시,경기,안양시,경기 안양시 만안구 만안로 135,1,0,0,031-448-6633,37.3945837283826,126.928912504108,addr,경기 안양시 만안구 만안로 135
A0000182,염리동주유소,S-OIL,서울 마포구,서울,마포구,서울 마포구 백범로 126 (염리동),1,0,1,02-3272-5155,37.5462256976573,126.944969899106,addr,서울 마포구 백범로 126
A0000189,(주)서울에너지 시민주유소,HD현대오일뱅크,서울 강북구,서울,강북구,서울 강북구 인수봉로 185 (수유동),1,0,1,02-907-9496,37.6361915368149,127.012766274186,addr,서울 강북구 인수봉로 185
A0000190,시선㈜ 권선지점,자가상표,경기 수원시,경기,수원시,경기 수원시 권선구 매송고색로 552,1,0,0,031-278-5180,37.2461849413335,126.965383276493,addr,경기 수원시 권선구 매송고색로 552
A0000201,금정주유소,HD현대오일뱅크,경기 양주시,경기,양주시,경기 양주시 화합로 1433,0,0,0,031-858-5501,37.8411488908784,127.06762159322,addr,경기 양주시 화합로 1433
A0000206,(주)남경주유소,SK에너지,서울 용산구,서울,용산구,서울 용산구 녹사평대로 11길 24,0,0,0,02-793-2954,37.5222568335822,126.993181838109,addr,서울 용산구 녹사평대로11길 24
A0000215,마하주유소,GS칼텍스,경기 안양시,경기,안양시,경기 안양시 만안구 엘에스로 237 (안양동),1,0,1,031-444-5175,37.3797147133328,126.938792957927,addr,경기 안양시 만안구 엘에스로 237
A0000216,원지셀프주유소(SK),SK에너지,경남 산청군,경남,산청군,경남 산청군 신안면 원지로 6-3,1,0,1,055-974-3333,35.3031416694519,127.973225171399,addr,경남 산청군 신안면 원지로 6-3
A0000217,포일주유소,HD현대오일뱅크,경기 의왕시,경기,의왕시,경기 의왕시 안양판교로 205 (청계동),0,0,0,031-423-7288,37.3900066690651,126.994074416196,addr,경기 의왕시 안양판교로 205
A0000221,한석주유소,SK에너지,서울 용산구,서울,용산구,서울 용산구 이촌로 164,0,0,0,02-790-1020,37.5215921464571,126.965360511446,addr,서울 용산구 이촌로 164
A0000223,동자동주유소,SK에너지,서울 용산구,서울,용산구,서울 용산구 한강대로104길 6 (동자동),0,0,0,02-754-6667,37.5502005044121,126.972417738531,addr,서울 용산구 한강대로104길 6
A0000225,(주)영원 풍기주유소,GS칼텍스,서울 용산구,서울,용산구,서울 용산구 원효로 178 (원효로2가),0,0,0,02-719-2202,37.5355890312127,126.962708973419,addr,서울 용산구 원효로 178
A0000228,에너비스,SK에너지,서울 용산구,서울,용산구,서울 용산구 한남대로 82 (한남동),0,0,0,070-8707-4572,37.5360397637014,127.006137723817,addr,서울 용산구 한남대로 82
A0000229,HD현대오일뱅크㈜직영 한남동주유소,HD현대오일뱅크,서울 용산구,서울,용산구,서울 용산구 한남대로 204 (한남동),0,0,1,02-795-0802,37.5460727912721,127.002896422503,addr,서울 용산구 한남대로 204
A0000230,HD현대오일뱅크㈜직영 한강셀프주유소,HD현대오일뱅크,서울 용산구,서울,용산구,서울 용산구 원효로 9,1,0,1,02-712-7124,37.5347144223748,126.945724077622,addr,서울 용산구 원효로 9
A0000232,HD현대오일뱅크㈜직영 갈월동주유소,HD현대오일뱅크,서울 용산구,서울,용산구,서울특별시 용산구  한강대로 322 (남영동),0,0,1,02-754-5217,37.5470289447515,126.972228457829,addr,서울 용산구 한강대로 322
A0000238,한남지점,SK에너지,서울 용산구,서울,용산구,서울 용산구 한남대로21길 4 (한남동),0,0,0,070-8707-4586,37.5347706155441,127.006109899987,addr,서울 용산구 한남대로21길 4
A0000240,HD현대오일뱅크(주)직영 소월길주유소,HD현대오일뱅크,서울 용산구,서울,용산구,서울 용산구 소월로 66 (후암동),0,0,1,02-318-3314,37.5544085670544,126.977734582566,addr,서울 용산구 소월로 66
A0000242,스피드 이천 주유소,GS칼텍스,경기 이천시,경기,이천시,경기 이천시 마장면 중부대로 560,1,0,0,031-638-5102,37.2550466078001,127.398951204862,addr,경기 이천시 마장면 중부대로 560
A0000245,(주)신태성주유소,SK에너지,서울 용산구,서울,용산구,서울 용산구 원효로 147 (원효로3가),0,0,0,02-701-9447,37.5347149768812,126.959447976925,addr,서울 용산구 원효로 147
A0000248,탑주유소,SK에너지,경기 수원시,경기,수원시,경기 수원시 권선구 서부로 1774,1,0,1,031-278-5182,37.2672113023766,126.972121514362,addr,경기 수원시 권선구 서부로 1774
A0000249,SK에너지㈜ 유공셀프주유소,SK에너지,대전 유성구,대전,유성구,대전 유성구 유성대로 614 (구암동),1,0,1,042-825-5153,36.3492712029679,127.327020524407,addr,대전 유성구 유성대로 614
A0000250,KH에너지㈜직영 KH테크노주유소,SK에너지,경기 부천시,경기,부천시,경기 부천시 오정구 석천로398번길 57,1,0,1,032-671-5180,37.5238726802027,126.77089289688,addr,경기 부천시 오정구 석천로398번길 57
A0000251,내삼주유소,S-OIL,경남 김해시,경남,김해시,경남 김해시 주촌면 서부로1499번안길 1,1,0,0,055-329-4351,35.2324735054314,128.816109617066,addr,경남 김해시 주촌면 서부로1499번안길 1
A0000253,경동석유산업(주)고속철주유소,HD현대오일뱅크,경기 광명시,경기,광명시,경기 광명시 광명로 207 (가학동),1,0,1,02-2617-9767,37.420046549682,126.848366128366,addr,경기 광명시 광명로 207
A0000256,문암주유소,S-OIL,충북 음성군,충북,음성군,충북 음성군 원남면 충청대로 60,1,0,0,043-872-8951,36.8390157139941,127.617507075108,addr,충북 음성군 원남면 충청대로 60
A0000257,서울석유(주)이에스주유소,SK에너지,경기 평택시,경기,평택시,경기 평택시 동삭로 363,1,0,1,031-656-5115,37.0187659148922,127.095384972975,addr,경기 평택시 동삭로 363
A0000263,㈜세일 구도일주유소 박달,S-OIL,경기 안양시,경기,안양시,경기 안양시 만안구 박달로 274 (박달동),1,0,0,031-441-5153,37.4037300594399,126.885205545082,addr,경기 안양시 만안구 박달로 274
A0000265,조랑말주유소,SK에너지,경기 포천시,경기,포천시,경기 포천시 이동면 화동로 2469,1,0,0,031-535-7834,38.0624889260998,127.386008395429,addr,경기 포천시 이동면 화동로 2469
A0000269,남사IC주유소,HD현대오일뱅크,경기 용인시,경기,용인시,경기 용인시 처인구 이동면 어진로 637,0,0,0,031-336-5145,37.1079423276712,127.178255502165,addr,경기 용인시 처인구 이동읍 어진로 637
A0000270,씨앤에스유통(주) 한일주유소,S-OIL,서울 영등포구,서울,영등포구,서울 영등포구 도림로 486 (문래동3가),1,0,0,02-3667-5101,37.5169565953997,126.889839721107,addr,서울 영등포구 도림로 486
A0000272,LP가스산업주유소,SK에너지,강원 인제군,강원,인제군,강원 인제군 북면 미시령로 951,0,0,0,033-463-5189,38.1942762949208,128.321361741516,addr,강원특별자치도 인제군 북면 미시령로 951
A0000279,선유도주유소,S-OIL,서울 영등포구,서울,영등포구,서울 영등포구 양평로 141 (양평동5가),1,0,1,02-2671-5223,37.5385291634597,126.892062687689,addr,서울 영등포구 양평로 141
A0000287,버드나룻길주유소,SK에너지,서울 영등포구,서울,영등포구,서울 영등포구 버드나루로 111 (당산동),0,0,0,02-2634-5104,37.5279744482943,126.907873245851,addr,서울 영등포구 버드나루로 111
A0000289,고려주유소,S-OIL,경북 문경시,경북,문경시,경북 문경시 마성면 은성로 1028,0,0,0,054-571-5400,36.6489070113168,128.080578688587,addr,경북 문경시 마성면 은성로 1028
A0000290,HD현대오일뱅크㈜직영 대일셀프주유소,HD현대오일뱅크,서울 영등포구,서울,영등포구,서울 영등포구 영등포로 168,1,0,1,02-2068-8700,37.5204746288886,126.900045594323,addr,서울 영등포구 영등포로 168
A0000292,지에스칼텍스㈜ 화일주유소,GS칼텍스,서울 영등포구,서울,영등포구,서울 영등포구 도림로 415,1,0,1,02-2633-5546,37.5132569564825,126.89648174992,addr,서울 영등포구 도림로 415
A0000297,신달주유소,S-OIL,충남 아산시,충남,아산시,충남 아산시 신창면 서부북로 691,0,0,0,041-541-6667,36.7996679016229,126.94012593569,addr,충남 아산시 신창면 서부북로 691
A0000308,KH에너지㈜직영 KH여의도주유소,SK에너지,서울 영등포구,서울,영등포구,서울 영등포구 국회대로 794 (여의도동),0,0,1,02-761-5101,37.5307392906414,126.920299416937,addr,서울 영등포구 국회대로 794
A0000309,SK에너지(주) 양평주유소,SK에너지,서울 영등포구,서울,영등포구,서울 영등포구 선유로 195 (양평동3가),1,0,1,02-2633-1013,37.5310482968462,126.893506681257,addr,서울 영등포구 선유로 195
A0000316,SJ오일(주) 여의도주유소,GS칼텍스,서울 영등포구,서울,영등포구,서울 영등포구 은행로 64,0,0,1,02-785-8201,37.5303763828993,126.925570104479,addr,서울 영등포구 은행로 64
A0000323,(주)한미석유 제2한강주유소,GS칼텍스,서울 영등포구,서울,영등포구,서울 영등포구 선유로 260 (양평동4가),1,0,1,02-2633-2716,37.5355248902398,126.897964946369,addr,서울 영등포구 선유로 260
A0000324,지에스칼텍스(주) 한양주유소,GS칼텍스,서울 영등포구,서울,영등포구,서울 영등포구 국회대로 665,0,0,1,02-2635-7781,37.5254941545528,126.908083772865,addr,서울 영등포구 국회대로 665
A0000327,SK에너지(주) 기린주유소,SK에너지,서울 영등포구,서울,영등포구,서울 영등포구 선유로 270,1,0,1,02-2671-5182,37.5363321621978,126.898774299929,addr,서울 영등포구 선유로 270
A0000329,향남신도시주유소,SK에너지,경기 화성시,경기,화성시,경기 화성시 만세구 향남읍 발안로 199,0,0,0,031-366-6027,37.130701472737,126.932024287299,addr,경기 화성시 만세구 향남읍 발안로 199
A0000331,(주)선우엠엔에스주유소,자가상표,충북 청주시,충북,청주시,충북 청주시 흥덕구 청주역로 387 (정봉동),0,0,0,043-237-8951,36.6486136425,127.393920046363,addr,충북 청주시 흥덕구 청주역로 387
A0000335,㈜원천주유소,GS칼텍스,서울 성북구,서울,성북구,서울 성북구 돌곶이로 142,1,0,0,070-4001-2057,37.614959395017,127.052767759887,addr,서울 성북구 돌곶이로 142
A0000346,㈜이아이디 네오시티주유소 지점,S-OIL,서울 영등포구,서울,영등포구,서울 영등포구 영등포로 399 (신길동),1,0,0,070-7722-3124,37.5135821203562,126.922724761096,addr,서울 영등포구 영등포로 399
A0000350,동아주유소,S-OIL,서울 구로구,서울,구로구,서울 구로구 도림로 91 (구로동),0,0,0,02-855-1282,37.4908381684642,126.89317436118,addr,서울 구로구 도림로 91
A0000363,우일주유소,S-OIL,경기 부천시,경기,부천시,경기 부천시 원미구 원미로 224,0,0,1,032-651-3783,37.5023378431136,126.794356059912,addr,경기 부천시 원미구 원미로 224
A0000365,북일주유소,S-OIL,전남광주 장성군,전남광주,장성군,전남광주통합특별시 장성군 북일면 신흥로 814,0,0,0,061-394-0081,35.3924017396879,126.770757622212,addr,전남광주통합특별시 장성군 북일면 신흥로 814
A0000368,㈜씨더블유창원동작,HD현대오일뱅크,서울 동작구,서울,동작구,서울 동작구 사당로 59,1,0,0,02-825-5151,37.494936328044,126.961445941667,addr,서울 동작구 사당로 59
A0000373,㈜에스코리아 에코주유소,GS칼텍스,경남 창녕군,경남,창녕군,경남 창녕군 부곡면 온천로 916,1,0,0,055-536-0450,35.4303656626842,128.620480951112,addr,경남 창녕군 부곡면 온천로 916
A0000379,살피재주유소,SK에너지,서울 동작구,서울,동작구,서울 동작구 상도로 334,0,0,0,02-817-2559,37.4983604973766,126.951389038225,addr,서울 동작구 상도로 334
A0000394,씨앤에스유통㈜ 미아셀프주유소,S-OIL,서울 강북구,서울,강북구,서울 강북구 도봉로 200 (미아동),1,0,0,02-945-7999,37.6265260054647,127.026459618797,addr,서울 강북구 도봉로 200
A0000400,(주)MS오일,HD현대오일뱅크,서울 영등포구,서울,영등포구,서울 영등포구 대림로 230,1,0,0,02-844-5151,37.5013096818947,126.897465178935,addr,서울 영등포구 대림로 230
A0000408,행촌주유소,SK에너지,서울 영등포구,서울,영등포구,서울 영등포구 도신로 130 (신길동),1,0,0,070-7758-5189,37.508496518797,126.905985305925,addr,서울 영등포구 도신로 130
A0000410,㈜신길에너지 신길주유소,GS칼텍스,서울 영등포구,서울,영등포구,서울 영등포구 신길로 74 (신길동),1,0,1,02-833-1113,37.4990627621518,126.908792674047,addr,서울 영등포구 신길로 74
A0000412,남서울고속주유소,SK에너지,서울 영등포구,서울,영등포구,서울 영등포구 가마산로 367 (대림동),1,0,0,02-843-5151,37.5016177485726,126.898733536976,addr,서울 영등포구 가마산로 367
A0000421,(주)강서오일,HD현대오일뱅크,서울 영등포구,서울,영등포구,서울 영등포구 도신로 151,1,0,0,02-832-1700,37.5100148716917,126.908251942382,addr,서울 영등포구 도신로 151
A0000425,HD현대오일뱅크㈜직영 동작주유소,HD현대오일뱅크,서울 동작구,서울,동작구,서울 동작구 상도로 403 (상도동),0,0,1,02-817-9179,37.4934718918359,126.956435112111,addr,서울 동작구 상도로 403
A0000426,HD현대오일뱅크㈜직영 사당셀프주유소,HD현대오일뱅크,서울 동작구,서울,동작구,서울 동작구 동작대로 73 (사당동),1,0,1,02-521-3618,37.4831195026339,126.98153085422,addr,서울 동작구 동작대로 73
A0000427,영등포제일셀프주유소,HD현대오일뱅크,서울 영등포구,서울,영등포구,서울 영등포구 가마산로 379,1,0,0,02-847-5151,37.5024020673961,126.899464416873,addr,서울 영등포구 가마산로 379
A0000428,주식회사 새서울글로벌,HD현대오일뱅크,서울 동작구,서울,동작구,서울 동작구 시흥대로 616 (신대방동),1,0,1,02-832-7926,37.4870838318406,126.905639241172,addr,서울 동작구 시흥대로 616
A0000430,HD현대오일뱅크㈜직영 흑석동셀프주유소,HD현대오일뱅크,서울 동작구,서울,동작구,서울 동작구 현충로 101 (흑석동),1,0,1,02-815-0724,37.5081000291855,126.965239054896,addr,서울 동작구 현충로 101
A0000431,SK에너지(주) 신길동주유소,SK에너지,서울 영등포구,서울,영등포구,서울 영등포구 영등포로 348 (신길동),0,0,1,02-843-0481,37.5152502056697,126.916966967146,addr,서울 영등포구 영등포로 348
A0000433,한경석유(주)경덕주유소,SK에너지,서울 영등포구,서울,영등포구,서울 영등포구 여의대방로23길 2 (신길동),1,0,0,02-843-3900,37.4983819172602,126.919783311181,addr,서울 영등포구 여의대방로23길 2
A0000442,씨앤에스유통 한성주유소,S-OIL,서울 영등포구,서울,영등포구,서울 영등포구 여의대방로 227,0,0,0,02-849-5180,37.5072579156295,126.922915747543,addr,서울 영등포구 여의대방로 227
A0000443,성락주유소,S-OIL,서울 영등포구,서울,영등포구,서울 영등포구 가마산로 414 (신길동),1,0,1,02-842-6148,37.5037333122657,126.902813303561,addr,서울 영등포구 가마산로 414
A0000444,(주)대청에너지 대청주유소,GS칼텍스,서울 영등포구,서울,영등포구,서울 영등포구 가마산로 328 (대림동),1,0,0,02-841-8780,37.4985849503891,126.895817488746,addr,서울 영등포구 가마산로 328
A0000445,(주)한경에너지 베스트원주유소,SK에너지,경기 하남시,경기,하남시,경기 하남시 하남대로 781,1,0,0,031-792-5100,37.5396270551832,127.210143399822,addr,경기 하남시 하남대로 781
A0000451,금곡주유소,S-OIL,경기 파주시,경기,파주시,경기 파주시 법원읍 술이홀로 1265,0,0,0,031-959-0090,37.8812265672727,126.880967601229,addr,경기 파주시 법원읍 술이홀로 1265
A0000452,문화주유소,GS칼텍스,충북 충주시,충북,충주시,충북 충주시 사직로 59 (문화동),1,0,0,043-857-3155,36.9672525409723,127.919472591559,addr,충북 충주시 사직로 59
A0000467,간성주유소,SK에너지,강원 고성군,강원,고성군,강원 고성군 간성읍 탑동길 4-15,1,0,0,033-681-5155,38.3773492369716,128.476039266778,addr,강원특별자치도 고성군 간성읍 탑동길 4-15
A0000468,대성석유㈜ 대성주유소,GS칼텍스,서울 강서구,서울,강서구,서울 강서구 강서로 472,0,0,0,02-3661-6102,37.5674698231778,126.841438957955,addr,서울 강서구 강서로 472
A0000471,(주)광역주유소 고강,GS칼텍스,경기 부천시,경기,부천시,경기 부천시 오정구 역곡로 560 (고강동),1,0,1,032-678-6446,37.5347962652227,126.816454672243,addr,경기 부천시 오정구 역곡로 560
A0000474,강서열린주유소,GS칼텍스,서울 강서구,서울,강서구,서울 강서구 등촌로 213 (등촌동),0,0,0,02-2647-9091,37.5487350773536,126.862988809415,addr,서울 강서구 등촌로 213
A0000480,개화주유소,SK에너지,서울 강서구,서울,강서구,서울 강서구 양천로 57,1,0,1,02-2661-5555,37.5735472850738,126.810053543861,addr,서울 강서구 양천로 57
A0000482,박물관주유소,GS칼텍스,서울 강서구,서울,강서구,서울 강서구 양천로53길 97 (가양동),1,0,0,02-3665-5189,37.5674992334083,126.850301675636,addr,서울 강서구 양천로53길 97
A0000484,부강하나주유소,SK에너지,경기 김포시,경기,김포시,경기 김포시 양촌면 양곡로 382,1,0,1,031-987-5088,37.6632422762863,126.63502900567,addr,경기 김포시 양촌읍 양곡로 382
A0000491,(주)타이거오일 방화주유소,SK에너지,서울 강서구,서울,강서구,서울 강서구 방화동로 58-2,1,0,0,02-2662-0503,37.5655628801505,126.812436402704,addr,서울 강서구 방화동로 58-2
A0000494,지에스칼텍스(주)여월신도시주유소,GS칼텍스,경기 부천시,경기,부천시,경기 부천시 오정구 여월로 112 (작동),1,0,1,032-677-5773,37.5124746483221,126.811402169926,addr,경기 부천시 오정구 여월로 112
A0000498,참솔에너지,S-OIL,서울 강서구,서울,강서구,서울 강서구 벌말로 281 (오곡동),1,0,0,070-8844-8282,37.5562780183645,126.768373374743,addr,서울 강서구 벌말로 281
A0000500,㈜한경에너지 신화곡주유소,SK에너지,서울 강서구,서울,강서구,서울 강서구 국회대로 71,1,0,0,02-2696-5189,37.5273198541745,126.8428791732,addr,서울 강서구 국회대로 71
A0000501,㈜오일마스터강서지점 등촌주유소,HD현대오일뱅크,서울 강서구,서울,강서구,서울 강서구 등촌로 189,0,0,0,02-2647-5700,37.5468598193199,126.862514592122,addr,서울 강서구 등촌로 189
A0000507,장마루세원3주유소,SK에너지,경기 파주시,경기,파주시,경기 파주시 파평면 율곡로 1366,1,0,0,031-958-5184,37.9496418403276,126.842745541546,addr,경기 파주시 파평면 율곡로 1366
