station_id,name,brand,region,sido,sigungu,addr,is_self,quality_cert,reports_price,tel
A0000270,씨앤에스유통(주) 한일주유소,S-OIL,서울 영등포구,서울,영등포구,서울 영등포구 도림로 486 (문래동3가),1,0,0,02-3667-5101
A0000272,LP가스산업주유소,SK에너지,강원 인제군,강원,인제군,강원 인제군 북면 미시령로 951,0,0,0,033-463-5189
A0000279,선유도주유소,S-OIL,서울 영등포구,서울,영등포구,서울 영등포구 양평로 141 (양평동5가),1,0,1,02-2671-5223
A0000287,버드나룻길주유소,SK에너지,서울 영등포구,서울,영등포구,서울 영등포구 버드나루로 111 (당산동),0,0,0,02-2634-5104
A0000289,고려주유소,S-OIL,경북 문경시,경북,문경시,경북 문경시 마성면 은성로 1028,0,0,0,054-571-5400
A0000290,HD현대오일뱅크㈜직영 대일셀프주유소,HD현대오일뱅크,서울 영등포구,서울,영등포구,서울 영등포구 영등포로 168,1,0,1,02-2068-8700
A0000292,지에스칼텍스㈜ 화일주유소,GS칼텍스,서울 영등포구,서울,영등포구,서울 영등포구 도림로 415,1,0,1,02-2633-5546
A0000297,신달주유소,S-OIL,충남 아산시,충남,아산시,충남 아산시 신창면 서부북로 691,0,0,0,041-541-6667
A0000308,KH에너지㈜직영 KH여의도주유소,SK에너지,서울 영등포구,서울,영등포구,서울 영등포구 국회대로 794 (여의도동),0,0,1,02-761-5101
A0000309,SK에너지(주) 양평주유소,SK에너지,서울 영등포구,서울,영등포구,서울 영등포구 선유로 195 (양평동3가),1,0,1,02-2633-1013
A0000316,SJ오일(주) 여의도주유소,GS칼텍스,서울 영등포구,서울,영등포구,서울 영등포구 은행로 64,0,0,1,02-785-8201
A0000323,(주)한미석유 제2한강주유소,GS칼텍스,서울 영등포구,서울,영등포구,서울 영등포구 선유로 260 (양평동4가),1,0,1,02-2633-2716
A0000324,지에스칼텍스(주) 한양주유소,GS칼텍스,서울 영등포구,서울,영등포구,서울 영등포구 국회대로 665,0,0,1,02-2635-7781
A0000327,SK에너지(주) 기린주유소,SK에너지,서울 영등포구,서울,영등포구,서울 영등포구 선유로 270,1,0,1,02-2671-5182
A0000329,향남신도시주유소,SK에너지,경기 화성시,경기,화성시,경기 화성시 만세구 향남읍 발안로 199,0,0,0,031-366-6027
A0000331,(주)선우엠엔에스주유소,자가상표,충북 청주시,충북,청주시,충북 청주시 흥덕구 청주역로 387 (정봉동),0,0,0,043-237-8951
A0000335,㈜원천주유소,GS칼텍스,서울 성북구,서울,성북구,서울 성북구 돌곶이로 142,1,0,0,070-4001-2057
A0000346,㈜이아이디 네오시티주유소 지점,S-OIL,서울 영등포구,서울,영등포구,서울 영등포구 영등포로 399 (신길동),1,0,0,070-7722-3124
A0000350,동아주유소,S-OIL,서울 구로구,서울,구로구,서울 구로구 도림로 91 (구로동),0,0,0,02-855-1282
A0000363,우일주유소,S-OIL,경기 부천시,경기,부천시,경기 부천시 원미구 원미로 224,0,0,1,032-651-3783
A0000365,북일주유소,S-OIL,전남광주 장성군,전남광주,장성군,전남광주통합특별시 장성군 북일면 신흥로 814,0,0,0,061-394-0081
A0000368,㈜씨더블유창원동작,HD현대오일뱅크,서울 동작구,서울,동작구,서울 동작구 사당로 59,1,0,0,02-825-5151
A0000373,㈜에스코리아 에코주유소,GS칼텍스,경남 창녕군,경남,창녕군,경남 창녕군 부곡면 온천로 916,1,0,0,055-536-0450
A0000379,살피재주유소,SK에너지,서울 동작구,서울,동작구,서울 동작구 상도로 334,0,0,0,02-817-2559
A0000394,씨앤에스유통㈜ 미아셀프주유소,S-OIL,서울 강북구,서울,강북구,서울 강북구 도봉로 200 (미아동),1,0,0,02-945-7999
A0000400,(주)MS오일,HD현대오일뱅크,서울 영등포구,서울,영등포구,서울 영등포구 대림로 230,1,0,0,02-844-5151
A0000408,행촌주유소,SK에너지,서울 영등포구,서울,영등포구,서울 영등포구 도신로 130 (신길동),1,0,0,070-7758-5189
A0000410,㈜신길에너지 신길주유소,GS칼텍스,서울 영등포구,서울,영등포구,서울 영등포구 신길로 74 (신길동),1,0,1,02-833-1113
A0000412,남서울고속주유소,SK에너지,서울 영등포구,서울,영등포구,서울 영등포구 가마산로 367 (대림동),1,0,0,02-843-5151
A0000421,(주)강서오일,HD현대오일뱅크,서울 영등포구,서울,영등포구,서울 영등포구 도신로 151,1,0,0,02-832-1700
A0000425,HD현대오일뱅크㈜직영 동작주유소,HD현대오일뱅크,서울 동작구,서울,동작구,서울 동작구 상도로 403 (상도동),0,0,1,02-817-9179
A0000426,HD현대오일뱅크㈜직영 사당셀프주유소,HD현대오일뱅크,서울 동작구,서울,동작구,서울 동작구 동작대로 73 (사당동),1,0,1,02-521-3618
A0000427,영등포제일셀프주유소,HD현대오일뱅크,서울 영등포구,서울,영등포구,서울 영등포구 가마산로 379,1,0,0,02-847-5151
A0000428,주식회사 새서울글로벌,HD현대오일뱅크,서울 동작구,서울,동작구,서울 동작구 시흥대로 616 (신대방동),1,0,1,02-832-7926
A0000430,HD현대오일뱅크㈜직영 흑석동셀프주유소,HD현대오일뱅크,서울 동작구,서울,동작구,서울 동작구 현충로 101 (흑석동),1,0,1,02-815-0724
A0000431,SK에너지(주) 신길동주유소,SK에너지,서울 영등포구,서울,영등포구,서울 영등포구 영등포로 348 (신길동),0,0,1,02-843-0481
A0000433,한경석유(주)경덕주유소,SK에너지,서울 영등포구,서울,영등포구,서울 영등포구 여의대방로23길 2 (신길동),1,0,0,02-843-3900
A0000442,씨앤에스유통 한성주유소,S-OIL,서울 영등포구,서울,영등포구,서울 영등포구 여의대방로 227,0,0,0,02-849-5180
A0000443,성락주유소,S-OIL,서울 영등포구,서울,영등포구,서울 영등포구 가마산로 414 (신길동),1,0,1,02-842-6148
A0000444,(주)대청에너지 대청주유소,GS칼텍스,서울 영등포구,서울,영등포구,서울 영등포구 가마산로 328 (대림동),1,0,0,02-841-8780
A0000445,(주)한경에너지 베스트원주유소,SK에너지,경기 하남시,경기,하남시,경기 하남시 하남대로 781,1,0,0,031-792-5100
A0000451,금곡주유소,S-OIL,경기 파주시,경기,파주시,경기 파주시 법원읍 술이홀로 1265,0,0,0,031-959-0090
A0000452,문화주유소,GS칼텍스,충북 충주시,충북,충주시,충북 충주시 사직로 59 (문화동),1,0,0,043-857-3155
A0000467,간성주유소,SK에너지,강원 고성군,강원,고성군,강원 고성군 간성읍 탑동길 4-15,1,0,0,033-681-5155
A0000468,대성석유㈜ 대성주유소,GS칼텍스,서울 강서구,서울,강서구,서울 강서구 강서로 472,0,0,0,02-3661-6102
A0000471,(주)광역주유소 고강,GS칼텍스,경기 부천시,경기,부천시,경기 부천시 오정구 역곡로 560 (고강동),1,0,1,032-678-6446
A0000474,강서열린주유소,GS칼텍스,서울 강서구,서울,강서구,서울 강서구 등촌로 213 (등촌동),0,0,0,02-2647-9091
A0000480,개화주유소,SK에너지,서울 강서구,서울,강서구,서울 강서구 양천로 57,1,0,1,02-2661-5555
A0000482,박물관주유소,GS칼텍스,서울 강서구,서울,강서구,서울 강서구 양천로53길 97 (가양동),1,0,0,02-3665-5189
A0000484,부강하나주유소,SK에너지,경기 김포시,경기,김포시,경기 김포시 양촌면 양곡로 382,1,0,1,031-987-5088
A0000491,(주)타이거오일 방화주유소,SK에너지,서울 강서구,서울,강서구,서울 강서구 방화동로 58-2,1,0,0,02-2662-0503
A0000494,지에스칼텍스(주)여월신도시주유소,GS칼텍스,경기 부천시,경기,부천시,경기 부천시 오정구 여월로 112 (작동),1,0,1,032-677-5773
A0000498,참솔에너지,S-OIL,서울 강서구,서울,강서구,서울 강서구 벌말로 281 (오곡동),1,0,0,070-8844-8282
A0000500,㈜한경에너지 신화곡주유소,SK에너지,서울 강서구,서울,강서구,서울 강서구 국회대로 71,1,0,0,02-2696-5189
A0000501,㈜오일마스터강서지점 등촌주유소,HD현대오일뱅크,서울 강서구,서울,강서구,서울 강서구 등촌로 189,0,0,0,02-2647-5700
A0000507,장마루세원3주유소,SK에너지,경기 파주시,경기,파주시,경기 파주시 파평면 율곡로 1366,1,0,0,031-958-5184
A0000508,세원제1주유소,S-OIL,서울 강서구,서울,강서구,서울 강서구 양천로 311,1,0,0,02-3663-5151
A0000519,㈜강서구도일,S-OIL,서울 강서구,서울,강서구,서울 강서구 강서로 154 (화곡동),1,0,0,02-2691-5151
A0000520,피트인 하이웨이,S-OIL,서울 강서구,서울,강서구,서울 강서구 공항대로 432,1,0,1,02-2605-4000
A0000527,용문주유소,S-OIL,경기 양평군,경기,양평군,경기 양평군 용문면 경강로 3299,0,0,0,031-771-5107
A0000528,칠곡IC주유소,GS칼텍스,경기 안성시,경기,안성시,경기 안성시 원곡면 만세로 991,1,0,0,031-654-5182
A0000530,우장산주유소,SK에너지,서울 강서구,서울,강서구,서울 강서구 강서로 292,1,0,0,02-3664-7163
A0000534,코리나(주)청룡주유소,SK에너지,서울 강서구,서울,강서구,서울 강서구 양천로 576,0,0,0,02-3661-1575
A0000537,씨앤에스에너지㈜ 소사본동주유소,S-OIL,경기 부천시,경기,부천시,경기 부천시 소사구 경인로 402,1,0,0,032-345-5179
A0000538,㈜수원터미널주유소,GS칼텍스,경기 수원시,경기,수원시,경기 수원시 권선구 경수대로 270 (권선동),0,0,0,031-267-7773
A0000544,대성석유(주) 관문주유소,GS칼텍스,서울 강서구,서울,강서구,서울 강서구 공항대로 314,0,0,0,02-3665-2051
A0000546,HD현대오일뱅크㈜직영 양화교셀프주유소,HD현대오일뱅크,서울 강서구,서울,강서구,서울 강서구 공항대로 653,1,0,1,02-3665-2004
A0000547,HD현대오일뱅크㈜직영 가양주유소,HD현대오일뱅크,서울 강서구,서울,강서구,서울 강서구  양천로 391 (가양동),0,0,1,02-3661-9470
A0000549,이케이에너지(주) 강서주유소,HD현대오일뱅크,서울 강서구,서울,강서구,서울 강서구 화곡로 273 (화곡동),1,0,1,02-2699-5219
A0000550,KH에너지㈜직영 가양주유소,SK에너지,서울 강서구,서울,강서구,서울 강서구 강서로 498 (가양동),0,0,1,02-3664-6051
A0000560,스카이주유소,S-OIL,서울 강서구,서울,강서구,서울 강서구 개화동로 457 (방화동),1,0,0,02-2663-5146
A0000565,행촌에너지 공항주유소,HD현대오일뱅크,서울 강서구,서울,강서구,서울 강서구 개화동로 420 (개화동),1,0,0,02-2665-5189
A0000567,유턴주유소,알뜰주유소,서울 강서구,서울,강서구,서울 강서구 남부순환로 57,1,1,1,02-2665-5047
A0000568,광호주유소,SK에너지,서울 서대문구,서울,서대문구,서울 서대문구 연희로 266 (홍은동),0,0,0,02-395-7236
A0000571,타이거주유소,SK에너지,서울 은평구,서울,은평구,서울 은평구 수색로 188 (증산동),1,0,0,02-309-9145
A0000572,현대오일뱅크 고잔주유소,HD현대오일뱅크,인천 남동구,인천,남동구,인천 남동구 논현고잔로 156 (고잔동),1,0,0,032-446-4000
A0000573,이케이에너지(주) 예당주유소,HD현대오일뱅크,경기 의정부시,경기,의정부시,경기 의정부시 의정로 10 (의정부동),1,0,1,031-876-6171
A0000576,가평대박주유소,S-OIL,경기 가평군,경기,가평군,경기 가평군 청평면 경춘로 1175,0,0,0,031-584-5155
A0000580,㈜천마에너지,S-OIL,경기 남양주시,경기,남양주시,경기 남양주시 화도읍 묵현로 191,1,0,0,031-593-4655
A0000582,목화주유소,알뜰주유소,서울 강서구,서울,강서구,서울 강서구 국회대로 251 (화곡동),1,0,1,02-2654-4564
A0000583,해뜨는덕소주유소,SK에너지,경기 남양주시,경기,남양주시,경기 남양주시 와부읍 월문천로 335,1,0,1,031-577-5182
A0000585,㈜제일주유소,HD현대오일뱅크,서울 서대문구,서울,서대문구,서울 서대문구 통일로 455 (홍제동),1,0,1,02-379-0753
A0000591,연희주유소,SK에너지,서울 서대문구,서울,서대문구,서울 서대문구 연희로 129 (연희동 89-7번지),1,0,0,02-338-8045
A0000619,㈜오일닷컴 다회주유소,S-OIL,서울 은평구,서울,은평구,서울 은평구 증산로 441,1,0,0,02-375-5156
A0000623,(주)가재울뉴타운주유소,HD현대오일뱅크,서울 서대문구,서울,서대문구,서울 서대문구 모래내로 205,1,0,1,070-8879-7864
A0000627,행촌제2주유소,SK에너지,서울 서대문구,서울,서대문구,서울 서대문구 성산로 490 (대신동),1,0,0,02-365-5189
A0000632,문화촌주유소,S-OIL,서울 서대문구,서울,서대문구,서울 서대문구 세검정로 87,1,0,1,02-395-4300
A0000640,덕양제2주유소,SK에너지,경기 고양시,경기,고양시,경기 고양시 일산서구 경의로 940,1,0,1,031-924-5192
A0000641,(주)케이에스엠 한빛셀프주유소,HD현대오일뱅크,경기 파주시,경기,파주시,경기 파주시 문산읍 방촌로 1613,1,0,0,031-953-5189
A0000642,상야주유소,S-OIL,인천 계양구,인천,계양구,인천 계양구 벌말로584번길 1,1,0,0,032-555-7242
A0000643,식사주유소,S-OIL,경기 고양시,경기,고양시,경기 고양시 일산동구 고양대로 1137 (식사동),1,0,0,031-966-3166
A0000644,덕양제1주유소,SK에너지,경기 고양시,경기,고양시,경기 고양시 덕양구 서오릉로 832 (성사동),1,0,1,031-966-5194
A0000646,CJ대한통운㈜ 부산주유소,GS칼텍스,부산 동구,부산,동구,부산 동구 충장대로 305 (좌천동),1,0,1,051-719-5143
A0000647,CJ대한통운㈜ 강원주유소,GS칼텍스,강원 원주시,강원,원주시,강원 원주시 흥업면 원문로 898,1,0,1,033-000-0000
A0000649,CJ대한통운㈜ 인천주유소,GS칼텍스,인천 제물포구,인천,제물포구,인천 제물포구 서해대로417번길 48,1,0,1,032-772-5151
A0000650,항만주유소,GS칼텍스,인천 제물포구,인천,제물포구,인천 제물포구 축항대로87번길 19,1,0,0,032-882-6897
A0000651,CJ대한통운㈜ 군장산단주유소,GS칼텍스,전북 군산시,전북,군산시,전북 군산시 동장산로 5,0,0,0,063-464-5182
A0000652,CJ대한통운㈜ 대전지사주유소,GS칼텍스,대전 대덕구,대전,대덕구,대전 대덕구 신탄진로 1 (읍내동),1,0,1,042-625-5189
A0000653,CJ대한통운㈜ 공단주유소,GS칼텍스,전북 전주시,전북,전주시,전북 전주시 덕진구 팔복로 167,0,0,1,063-472-1607
A0000655,CJ대한통운㈜ 신림주유소,GS칼텍스,서울 관악구,서울,관악구,서울 관악구 남부순환로 1515 (신림동),0,0,1,02-2632-8612
A0000656,CJ대한통운㈜ 형산강주유소,GS칼텍스,경북 포항시,경북,포항시,경북 포항시 남구 섬안로 65,0,0,0,054-288-1268
A0000657,CJ대한통운㈜ 광양주유소,GS칼텍스,전남광주 광양시,전남광주,광양시,전남광주통합특별시 광양시 태인4길 29 (태인동),0,0,1,061-797-5052
A0000658,㈜제이에스 영남복합물류,S-OIL,경북 칠곡군,경북,칠곡군,경북 칠곡군 지천면 금호로 272,1,0,1,054-380-1111
A0000660,천호현대주유소,HD현대오일뱅크,서울 강동구,서울,강동구,서울 강동구 천중로 67 (천호동),1,0,0,02-000-0000
A0000663,(주)창릉주유소,GS칼텍스,경기 고양시,경기,고양시,경기 고양시 덕양구 고양대로 1900 (동산동),1,0,0,02-356-7789
A0000680,서정주유소,GS칼텍스,서울 은평구,서울,은평구,서울 은평구 통일로 968 (진관동),1,0,0,02-352-4451
A0000683,대성산업㈜ 대성주유소,GS칼텍스,서울 은평구,서울,은평구,서울 은평구 통일로 642,1,0,1,02-355-3434
A0000686,(주)디오티디 은평유니콘주유소,HD현대오일뱅크,서울 은평구,서울,은평구,서울 은평구 통일로 1151,0,0,1,02-356-9051
A0000687,박석고개2주유소,SK에너지,서울 은평구,서울,은평구,서울 은평구 통일로 924,1,0,1,02-355-0349
A0000690,지에스칼텍스(주)수색뉴타운주유소,GS칼텍스,서울 은평구,서울,은평구,서울 은평구 수색로 350 (수색동),1,0,1,02-309-5051
A0000695,성동IC주유소,SK에너지,경기 파주시,경기,파주시,경기 파주시 탄현면 새오리로,1,0,0,031-944-4651
A0000704,코끼리주유소,자가상표,서울 은평구,서울,은평구,서울 은평구 서오릉로 41 (녹번동),0,0,0,02-384-4000
A0000706,천사들주유소,SK에너지,전북 남원시,전북,남원시,전북 남원시 산업로 3272,1,0,1,063-635-5185
A0000707,(주)명연에너지 수색훼미리주유소,HD현대오일뱅크,서울 은평구,서울,은평구,서울 은평구 수색로 236 (수색동),1,0,0,02-374-8770
A0000708,팔달주유소,SK에너지,경기 수원시,경기,수원시,경기 수원시 팔달구 중부대로 64,1,0,0,031-223-8855
A0000710,가원주유소,SK에너지,경기 파주시,경기,파주시,경기 파주시 탄현면 엘지로 635,1,0,0,031-941-3609
A0000711,(주)세지에너지주유소/충전소,SK에너지,경기 시흥시,경기,시흥시,경기 시흥시 서해안로 120,1,0,1,031-365-5090
A0000716,코리아상사 연세주유소,HD현대오일뱅크,서울 서대문구,서울,서대문구,서울 서대문구 연희로 184,1,0,1,02-337-8220
A0000719,엠유산업,S-OIL,충북 제천시,충북,제천시,충북 제천시 봉양읍 북부로 977,0,0,0,043-648-8882
A0000725,불광주유소,HD현대오일뱅크,서울 은평구,서울,은평구,서울 은평구 연서로 314,1,0,0,02-382-5149
